graph,n,original_edges,spanner_edges,k,stretch,selected_edges,edge_reduction_percent,original_weight,spanner_weight,mst_weight,max_stretch,stretch_violations,runtime_ms,weight_over_mst,allowed_stretch,stretch_utilization,general_size_bound,general_size_bound_ratio,planar_size_bound,planar_size_bound_ratio,family,spanner_edges_over_original,theoretical_general_size_bound,spanner_edges_over_general_bound,spanner_edges_over_planar_bound
cycle_threshold_n7,7,7,7,1,1.0,7,0.0,7.0,7.0,6.0,1.0,0,0,1.166667,1.0,1.0,49.0,0.142857,,,cycle_threshold,1.0,49.0,0.142857,
cycle_threshold_n7,7,7,7,2,3.0,7,0.0,7.0,7.0,6.0,1.0,0,0,1.166667,3.0,0.333333,18.520259,0.377964,12.0,0.583333,cycle_threshold,1.0,18.520259,0.377964,0.583333
cycle_threshold_n7,7,7,7,3,5.0,7,0.0,7.0,7.0,6.0,1.0,0,0,1.166667,5.0,0.2,13.390518,0.522758,9.0,0.777778,cycle_threshold,1.0,13.390518,0.522758,0.777778
cycle_threshold_n7,7,7,6,4,7.0,6,14.285714,7.0,6.0,6.0,6.0,0,0,1.0,7.0,0.857143,11.386036,0.526961,8.0,0.75,cycle_threshold,0.8571428571428571,11.386036,0.526961,0.75
cycle_threshold_n7,7,7,6,5,9.0,6,14.285714,7.0,6.0,6.0,6.0,0,0,1.0,9.0,0.666667,10.330412,0.580809,7.5,0.8,cycle_threshold,0.8571428571428571,10.330412,0.580809,0.8
cycle_threshold_n8,8,8,8,1,1.0,8,0.0,8.0,8.0,7.0,1.0,0,0,1.142857,1.0,1.0,64.0,0.125,,,cycle_threshold,1.0,64.0,0.125,
cycle_threshold_n8,8,8,8,2,3.0,8,0.0,8.0,8.0,7.0,1.0,0,0,1.142857,3.0,0.333333,22.627417,0.353553,14.0,0.571429,cycle_threshold,1.0,22.627417,0.353553,0.571429
cycle_threshold_n8,8,8,8,3,5.0,8,0.0,8.0,8.0,7.0,1.0,0,0,1.142857,5.0,0.2,16.0,0.5,10.5,0.761905,cycle_threshold,1.0,16.0,0.5,0.761905
cycle_threshold_n8,8,8,7,4,7.0,7,12.5,8.0,7.0,7.0,7.0,0,0,1.0,7.0,1.0,13.454343,0.520278,9.333333,0.75,cycle_threshold,0.875,13.454343,0.520278,0.75
cycle_threshold_n8,8,8,7,5,9.0,7,12.5,8.0,7.0,7.0,7.0,0,0,1.0,9.0,0.777778,12.125733,0.577285,8.75,0.8,cycle_threshold,0.875,12.125733,0.577285,0.8
