graph,n,original_edges,spanner_edges,k,stretch,edge_reduction_percent,original_weight,spanner_weight,mst_weight,max_stretch,stretch_violations,runtime_ms,weight_over_mst,allowed_stretch,stretch_utilization,general_size_bound,general_size_bound_ratio,planar_size_bound,planar_size_bound_ratio,family,edge_density,er_probability,is_large_random_er,spanner_edges_over_original,theoretical_general_size_bound,spanner_edges_over_general_bound,spanner_edges_over_planar_bound
random_connected_er_p010_n200_p0.100_rep1_seed24000,200,2139,620,1,1.0,71.014493,109147.0,10416.0,1183.0,1.0,0,66,8.804734,1.0,1.0,40000.0,0.0155,,,random_er,0.10748743718592965,0.1,True,0.2898550724637681,40000.0,0.0155,
random_connected_er_p010_n200_p0.100_rep1_seed24000,200,2139,254,2,3.0,88.125292,109147.0,1790.0,1183.0,3.0,0,47,1.513102,3.0,1.0,2828.427125,0.089803,,,random_er,0.10748743718592965,0.1,True,0.1187470780738663,2828.427125,0.089803,
random_connected_er_p010_n200_p0.100_rep1_seed24000,200,2139,214,3,5.0,89.995325,109147.0,1326.0,1183.0,4.75,0,41,1.120879,5.0,0.95,1169.607095,0.182967,,,random_er,0.10748743718592965,0.1,True,0.10004675081813932,1169.607095,0.182967,
random_connected_er_p010_n200_p0.100_rep1_seed24000,200,2139,207,4,7.0,90.322581,109147.0,1263.0,1183.0,6.875,0,38,1.067625,7.0,0.982143,752.120619,0.275222,,,random_er,0.10748743718592965,0.1,True,0.0967741935483871,752.120619,0.275222,
random_connected_er_p010_n200_p0.100_rep1_seed24000,200,2139,200,5,9.0,90.649836,109147.0,1192.0,1183.0,8.7,0,37,1.007608,9.0,0.966667,577.079962,0.346572,,,random_er,0.10748743718592965,0.1,True,0.09350163627863488,577.079962,0.346572,
random_connected_er_p010_n200_p0.100_rep2_seed24001,200,2216,603,1,1.0,72.788809,111914.0,9382.0,1105.0,1.0,0,70,8.490498,1.0,1.0,40000.0,0.015075,,,random_er,0.111356783919598,0.1,True,0.2721119133574007,40000.0,0.015075,
random_connected_er_p010_n200_p0.100_rep2_seed24001,200,2216,253,2,3.0,88.583032,111914.0,1649.0,1105.0,3.0,0,49,1.492308,3.0,1.0,2828.427125,0.089449,,,random_er,0.111356783919598,0.1,True,0.1141696750902527,2828.427125,0.089449,
random_connected_er_p010_n200_p0.100_rep2_seed24001,200,2216,215,3,5.0,90.297834,111914.0,1253.0,1105.0,5.0,0,42,1.133937,5.0,1.0,1169.607095,0.183822,,,random_er,0.111356783919598,0.1,True,0.0970216606498195,1169.607095,0.183822,
random_connected_er_p010_n200_p0.100_rep2_seed24001,200,2216,206,4,7.0,90.703971,111914.0,1161.0,1105.0,6.7,0,40,1.050679,7.0,0.957143,752.120619,0.273892,,,random_er,0.111356783919598,0.1,True,0.09296028880866426,752.120619,0.273892,
random_connected_er_p010_n200_p0.100_rep2_seed24001,200,2216,202,5,9.0,90.884477,111914.0,1128.0,1105.0,8.777778,0,38,1.020814,9.0,0.975309,577.079962,0.350038,,,random_er,0.111356783919598,0.1,True,0.09115523465703972,577.079962,0.350038,
random_connected_er_p010_n200_p0.100_rep3_seed24002,200,2140,637,1,1.0,70.233645,110847.0,11122.0,1243.0,1.0,0,68,8.947707,1.0,1.0,40000.0,0.015925,,,random_er,0.10753768844221105,0.1,True,0.2976635514018692,40000.0,0.015925,
random_connected_er_p010_n200_p0.100_rep3_seed24002,200,2140,260,2,3.0,87.850467,110847.0,1976.0,1243.0,3.0,0,45,1.589702,3.0,1.0,2828.427125,0.091924,,,random_er,0.10753768844221105,0.1,True,0.12149532710280374,2828.427125,0.091924,
random_connected_er_p010_n200_p0.100_rep3_seed24002,200,2140,222,3,5.0,89.626168,110847.0,1485.0,1243.0,5.0,0,43,1.19469,5.0,1.0,1169.607095,0.189807,,,random_er,0.10753768844221105,0.1,True,0.10373831775700934,1169.607095,0.189807,
random_connected_er_p010_n200_p0.100_rep3_seed24002,200,2140,207,4,7.0,90.327103,110847.0,1310.0,1243.0,6.583333,0,45,1.053902,7.0,0.940476,752.120619,0.275222,,,random_er,0.10753768844221105,0.1,True,0.09672897196261682,752.120619,0.275222,
random_connected_er_p010_n200_p0.100_rep3_seed24002,200,2140,203,5,9.0,90.514019,110847.0,1277.0,1243.0,8.4,0,37,1.027353,9.0,0.933333,577.079962,0.351771,,,random_er,0.10753768844221105,0.1,True,0.09485981308411215,577.079962,0.351771,
random_connected_er_p010_n400_p0.100_rep1_seed44000,400,8281,1462,1,1.0,82.345127,416725.0,14360.0,1352.0,1.0,0,614,10.621302,1.0,1.0,160000.0,0.009138,,,random_er,0.1037719298245614,0.1,True,0.17654872599927546,160000.0,0.009138,
random_connected_er_p010_n400_p0.100_rep1_seed44000,400,8281,585,2,3.0,92.935636,416725.0,2519.0,1352.0,3.0,0,407,1.863166,3.0,1.0,8000.0,0.073125,,,random_er,0.1037719298245614,0.1,True,0.0706436420722135,8000.0,0.073125,
random_connected_er_p010_n400_p0.100_rep1_seed44000,400,8281,464,3,5.0,94.396812,416725.0,1692.0,1352.0,5.0,0,367,1.251479,5.0,1.0,2947.225199,0.157436,,,random_er,0.1037719298245614,0.1,True,0.05603188020770438,2947.225199,0.157436,
