graph,n,original_edges,spanner_edges,k,stretch,edge_reduction_percent,original_weight,spanner_weight,mst_weight,max_stretch,stretch_violations,runtime_ms,weight_over_mst,allowed_stretch,stretch_utilization,general_size_bound,general_size_bound_ratio,planar_size_bound,planar_size_bound_ratio
random_connected_er_p002_n800_p0.020_rep3_seed82002,800,7207,831,5,9.000000,88.469543,362903.000000,6254.000000,5927.000000,9.000000,0,607,1.055171,9.000000,1.000000,3045.846302,0.272831,NaN,NaN
random_connected_er_p005_n200_p0.050_rep1_seed23000,200,1158,599,1,1.000000,48.272884,59173.000000,17816.000000,2210.000000,1.000000,0,30,8.061538,1.000000,1.000000,40000.000000,0.014975,NaN,NaN
random_connected_er_p005_n200_p0.050_rep1_seed23000,200,1158,256,2,3.000000,77.892919,59173.000000,3398.000000,2210.000000,3.000000,0,22,1.537557,3.000000,1.000000,2828.427125,0.090510,NaN,NaN
random_connected_er_p005_n200_p0.050_rep1_seed23000,200,1158,215,3,5.000000,81.433506,59173.000000,2447.000000,2210.000000,5.000000,0,21,1.107240,5.000000,1.000000,1169.607095,0.183822,NaN,NaN
random_connected_er_p005_n200_p0.050_rep1_seed23000,200,1158,207,4,7.000000,82.124352,59173.000000,2327.000000,2210.000000,6.500000,0,20,1.052941,7.000000,0.928571,752.120619,0.275222,NaN,NaN
random_connected_er_p005_n200_p0.050_rep1_seed23000,200,1158,200,5,9.000000,82.728843,59173.000000,2228.000000,2210.000000,8.363636,0,19,1.008145,9.000000,0.929293,577.079962,0.346572,NaN,NaN
random_connected_er_p005_n200_p0.050_rep2_seed23001,200,1232,631,1,1.000000,48.782468,61935.000000,18296.000000,2075.000000,1.000000,0,36,8.817349,1.000000,1.000000,40000.000000,0.015775,NaN,NaN
random_connected_er_p005_n200_p0.050_rep2_seed23001,200,1232,262,2,3.000000,78.733766,61935.000000,3295.000000,2075.000000,3.000000,0,25,1.587952,3.000000,1.000000,2828.427125,0.092631,NaN,NaN
random_connected_er_p005_n200_p0.050_rep2_seed23001,200,1232,224,3,5.000000,81.818182,61935.000000,2483.000000,2075.000000,4.913043,0,22,1.196627,5.000000,0.982609,1169.607095,0.191517,NaN,NaN
random_connected_er_p005_n200_p0.050_rep2_seed23001,200,1232,207,4,7.000000,83.198052,61935.000000,2204.000000,2075.000000,6.875000,0,21,1.062169,7.000000,0.982143,752.120619,0.275222,NaN,NaN
random_connected_er_p005_n200_p0.050_rep2_seed23001,200,1232,202,5,9.000000,83.603896,61935.000000,2116.000000,2075.000000,8.733333,0,19,1.019759,9.000000,0.970370,577.079962,0.350038,NaN,NaN
random_connected_er_p005_n200_p0.050_rep3_seed23002,200,1192,617,1,1.000000,48.238255,58608.000000,17354.000000,1942.000000,1.000000,0,33,8.936148,1.000000,1.000000,40000.000000,0.015425,NaN,NaN
random_connected_er_p005_n200_p0.050_rep3_seed23002,200,1192,257,2,3.000000,78.439597,58608.000000,3045.000000,1942.000000,3.000000,0,22,1.567971,3.000000,1.000000,2828.427125,0.090863,NaN,NaN
random_connected_er_p005_n200_p0.050_rep3_seed23002,200,1192,219,3,5.000000,81.627517,58608.000000,2285.000000,1942.000000,4.916667,0,20,1.176622,5.000000,0.983333,1169.607095,0.187242,NaN,NaN
random_connected_er_p005_n200_p0.050_rep3_seed23002,200,1192,207,4,7.000000,82.634228,58608.000000,2073.000000,1942.000000,6.500000,0,20,1.067456,7.000000,0.928571,752.120619,0.275222,NaN,NaN
random_connected_er_p005_n200_p0.050_rep3_seed23002,200,1192,202,5,9.000000,83.053691,58608.000000,1993.000000,1942.000000,8.153846,0,18,1.026262,9.000000,0.905983,577.079962,0.350038,NaN,NaN
random_connected_er_p005_n400_p0.050_rep1_seed43000,400,4365,1336,1,1.000000,69.392898,218966.000000,23140.000000,2466.000000,1.000000,0,292,9.383617,1.000000,1.000000,160000.000000,0.008350,NaN,NaN
random_connected_er_p005_n400_p0.050_rep1_seed43000,400,4365,541,2,3.000000,87.605956,218966.000000,4025.000000,2466.000000,3.000000,0,200,1.632198,3.000000,1.000000,8000.000000,0.067625,NaN,NaN
random_connected_er_p005_n400_p0.050_rep1_seed43000,400,4365,438,3,5.000000,89.965636,218966.000000,2794.000000,2466.000000,5.000000,0,182,1.133009,5.000000,1.000000,2947.225199,0.148614,NaN,NaN
random_connected_er_p005_n400_p0.050_rep1_seed43000,400,4365,414,4,7.000000,90.515464,218966.000000,2581.000000,2466.000000,7.000000,0,176,1.046634,7.000000,1.000000,1788.854382,0.231433,NaN,NaN
random_connected_er_p005_n400_p0.050_rep1_seed43000,400,4365,403,5,9.000000,90.767468,218966.000000,2488.000000,2466.000000,8.888889,0,175,1.008921,9.000000,0.987654,1325.781607,0.303972,NaN,NaN
random_connected_er_p005_n400_p0.050_rep2_seed43001,400,4340,1370,1,1.000000,68.433180,218614.000000,25134.000000,2481.000000,1.000000,0,297,10.130593,1.000000,1.000000,160000.000000,0.008563,NaN,NaN
random_connected_er_p005_n400_p0.050_rep2_seed43001,400,4340,540,2,3.000000,87.557604,218614.000000,3983.000000,2481.000000,3.000000,0,206,1.605401,3.000000,1.000000,8000.000000,0.067500,NaN,NaN
random_connected_er_p005_n400_p0.050_rep2_seed43001,400,4340,436,3,5.000000,89.953917,218614.000000,2778.000000,2481.000000,5.000000,0,183,1.119710,5.000000,1.000000,2947.225199,0.147936,NaN,NaN
random_connected_er_p005_n400_p0.050_rep2_seed43001,400,4340,413,4,7.000000,90.483871,218614.000000,2586.000000,2481.000000,6.888889,0,175,1.042322,7.000000,0.984127,1788.854382,0.230874,NaN,NaN
random_connected_er_p005_n400_p0.050_rep2_seed43001,400,4340,405,5,9.000000,90.668203,218614.000000,2520.000000,2481.000000,9.000000,0,167,1.015719,9.000000,1.000000,1325.781607,0.305480,NaN,NaN
random_connected_er_p005_n400_p0.050_rep3_seed43002,400,4305,1461,1,1.000000,66.062718,218489.000000,28144.000000,2567.000000,1.000000,0,307,10.963771,1.000000,1.000000,160000.000000,0.009131,NaN,NaN
random_connected_er_p005_n400_p0.050_rep3_seed43002,400,4305,572,2,3.000000,86.713124,218489.000000,4703.000000,2567.000000,3.000000,0,206,1.832100,3.000000,1.000000,8000.000000,0.071500,NaN,NaN
